Designator,Val,Package,Mid X,Mid Y,Rot,Layer
C1,1uF,C_0402_1005Metric,74.52,-99,180,top
C2,0.1uF,C_0402_1005Metric,74.52,-102.5,180,top
C3,0.1uF,C_0402_1005Metric,79.5,-106.5,180,top
C4,0.1uF,C_0402_1005Metric,85.48,-102.5,0,top
C5,0.1uF,C_0402_1005Metric,85.48,-99,0,top
C6,0.1uF,C_0402_1005Metric,84.5,-97.5,0,top
C7,0.1uF,C_0402_1005Metric,83.5,-96.02,90,top
C8,0.1uF,C_0402_1005Metric,80.5,-96,90,top
C9,0.1uF,C_0402_1005Metric,79.5,-96,90,top
C10,1uF,C_0402_1005Metric,82.5,-96.02,90,top
C11,0.1uF,C_0402_1005Metric,81.5,-106.5,0,top
C12,0.1uF,C_0402_1005Metric,78,-96.5,180,top
C13,10uF,C_0603_1608Metric,73.5,-81.336094,0,top
C14,10uF,C_0603_1608Metric,76.225,-86,0,top
C15,33pF,C_0402_1005Metric,76.459188,-109.937846,-90,top
C16,33pF,C_0402_1005Metric,81.842957,-109.599993,90,top
C17,0.1uF,C_0402_1005Metric,83.82621,-88.59872,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,79.75,-74.455,180,top
J2,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,68.36,-73.62,0,top
J3,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,91.14,-73.62,0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,77.05,-121.54,90,top
R1,5.1K,R_0402_1005Metric,81,-81,-90,top
R2,5.1K,R_0402_1005Metric,78,-81,-90,top
R3,27,R_0402_1005Metric,81.5,-95.98,-90,top
R4,27,R_0402_1005Metric,78.01,-95.5,0,top
R5,1K,R_0402_1005Metric,81,-107.5,0,top
R6,1K,R_0402_1005Metric,76.01,-87.5,0,top
R7,10K,R_0402_1005Metric,76.01,-88.5,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,80.75,-86.25,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,79.974558,-101.75013,0,top
U2,MCP1700x-330xxTT,SOT-23,76,-83,90,top
U4,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,79.9125,-91.905,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,79.236838,-109.856616,180,top
